DateHeure,P_NET_TRAFO,V_avg_trafo,P_TENNIS,V_avg_tennis
2020-09-21 22:45:00,9528.0,236.43,850.0,234.5312263502098
2020-09-21 23:00:00,12213.0,237.85,-30.0,234.78526046865326
2020-09-21 23:15:00,13329.0,238.43,-170.0,235.74943541819988
2020-09-21 23:30:00,13040.0,238.64,-170.0,236.24595664970298
2020-09-21 23:45:00,12759.0,236.25,-170.0,236.29214467123813
2020-09-22 00:00:00,12208.0,236.96,-170.0,234.23100421023116
2020-09-22 00:15:00,13423.0,236.36,-170.0,234.66979041481528
2020-09-22 00:30:00,11680.0,236.44,780.0,233.93655557294446
2020-09-22 00:45:00,12345.0,236.64,170.0,234.10398715100948
2020-09-22 01:00:00,12413.0,236.94,-170.0,234.30028624253396
2020-09-22 01:15:00,12290.0,237.17,-170.0,234.6351493986639
2020-09-22 01:30:00,12774.0,237.34,-170.0,234.91227752787492
2020-09-22 01:45:00,11995.0,237.97,170.0,234.93537153864253
2020-09-22 02:00:00,11819.0,237.85,840.0,235.69747389397284
2020-09-22 02:15:00,11604.0,237.69,580.0,235.53004231590785
2020-09-22 02:30:00,11548.0,237.68,-170.0,235.68015338589714
2020-09-22 02:45:00,11712.0,237.74,-170.0,235.68592688858902
2020-09-22 03:00:00,11401.0,237.78,-170.0,235.69747389397284
2020-09-22 03:15:00,11896.0,237.7,-170.0,235.81294394781082
2020-09-22 03:30:00,11717.0,237.53,-170.0,235.6281918616701
2020-09-22 03:45:00,12077.0,237.05,170.0,235.6281918616701
2020-09-22 04:00:00,10265.0,237.16,770.0,234.8025809767289
2020-09-22 04:15:00,11326.0,237.97,-170.0,235.20095266246972
2020-09-22 04:30:00,10391.0,237.44,-170.0,236.01501654202715
2020-09-22 04:45:00,10108.0,237.5,-170.0,235.36838424053482
2020-09-22 05:00:00,10305.0,237.93,-170.0,235.80139694242698
2020-09-22 05:15:00,10915.0,237.52,640.0,235.96305501780012
2020-09-22 05:30:00,10756.0,236.28,840.0,235.36261073784286
2020-09-22 05:45:00,9945.0,235.67,110.0,234.01161110793916
2020-09-22 06:00:00,11007.0,237.33,-160.0,233.7922180056471
2020-09-22 06:15:00,11410.0,237.51,-170.0,235.35106373245904
2020-09-22 06:30:00,12027.0,237.38,-170.0,235.31642271630767
2020-09-22 06:45:00,7136.0,238.01,-170.0,235.2240466732373
2020-09-22 07:00:00,6288.0,237.33,-170.0,236.44225574122746
2020-09-22 07:15:00,5807.0,237.96,630.0,235.81294394781082
2020-09-22 07:30:00,6010.0,237.98,170.0,236.30369167662198
2020-09-22 07:45:00,9226.0,237.44,-1500.0,236.44225574122746
2020-09-22 08:00:00,16091.0,236.01,-2480.0,235.14899113824268
2020-09-22 08:15:00,9535.0,236.38,-3050.0,233.1686797149223
2020-09-22 08:30:00,6194.0,236.86,-3920.0,234.59473487982063
2020-09-22 08:45:00,4437.0,237.68,-6340.0,236.17667461740018
2020-09-22 09:00:00,9103.0,237.3,-11590.0,237.70665283075274
2020-09-22 09:15:00,16526.0,235.97,-15550.0,237.36024266923897
2020-09-22 09:30:00,17319.0,235.78,-13780.0,235.04506808978854
2020-09-22 09:45:00,22437.0,235.25,-12900.0,234.49658533405847
2020-09-22 10:00:00,6621.0,236.25,-14690.0,233.72870947603627
2020-09-22 10:15:00,25481.0,237.58,-36230.0,238.35905863493699
2020-09-22 10:30:00,26148.0,237.1,-43940.0,239.71583176753262
2020-09-22 10:45:00,39132.0,237.04,-39070.0,239.83130182137054
2020-09-22 11:00:00,23705.0,236.92,-20290.0,236.71938387043846
2020-09-22 11:15:00,23540.0,237.8,-19450.0,235.95150801241627
2020-09-22 11:30:00,20227.0,237.4,-19880.0,236.43648223853558
2020-09-22 11:45:00,19897.0,238.01,-25440.0,236.89836245388724
2020-09-22 12:00:00,31261.0,237.53,-32580.0,238.5553577264615
